messagecode,meldeklasse,priority,kurztext_2,kurztext_3,kurztext_4
24564,D,ignore,Шина MVB линии А неисправна в сегменте 3,Поступило ДС 24564 Шина MVB линии А неисправна в сегменте 3,Более не активно ДС 24564 Шина MVB линии А неисправна в сегменте 3
24570,D,ignore,Шина MVB линии А частично неисправна в сегменте 1,Поступило ДС 24570 Шина MVB линии А частично неисправна в сегменте 1,Более не активно ДС 24570 Шина MVB линии А частично неисправна в сегменте 1
24571,D,ignore,Шина MVB линии А частично неисправна в сегменте 2,Поступило ДС 24571 Шина MVB линии А частично неисправна в сегменте 2,Более не активно ДС 24571 Шина MVB линии А частично неисправна в сегменте 2
24572,D,ignore,Шина MVB линии А частично неисправна в сегменте 4,Поступило ДС 24572 Шина MVB линии А частично неисправна в сегменте 4,Более не активно ДС 24572 Шина MVB линии А частично неисправна в сегменте 4
24573,D,ignore,Шина MVB линии А частично неисправна в сегменте 5,Поступило ДС 24573 Шина MVB линии А частично неисправна в сегменте 5,Более не активно ДС 24573 Шина MVB линии А частично неисправна в сегменте 5
24574,D,ignore,Шина MVB линии А частично неисправна в сегменте 3,Поступило ДС 24574 Шина MVB линии А частично неисправна в сегменте 3,Более не активно ДС 24574 Шина MVB линии А частично неисправна в сегменте 3
24591,M,yellow,ПНР: Тестирование сообщений,Поступило ДС 24591 ПНР: Тестирование сообщений,Более не активно ДС 24591 ПНР: Тестирование сообщений
24592,D,ignore,ЗУ заблокировано. Проверить DM_GPAR,Поступило ДС 24592 ЗУ заблокировано. Проверить DM_GPAR,Более не активно ДС 24592 ЗУ заблокировано. Проверить DM_GPAR
24593,D,ignore,Используемый диагностический код не определяется в DCTAB/DMTAB,Поступило ДС 24593 Используемый диагностический код не определяется в DCTAB/DMTAB,Более не активно ДС 24593 Используемый диагностический код не определяется в DCTAB/DMTAB
24594,I,yellow,Сброс ЗУ,Поступило ДС 24594 Сброс ЗУ,Более не активно ДС 24594 Сброс ЗУ
24599,D,ignore,Шина MVB линии А заморожена,Поступило ДС 24599 Шина MVB линии А заморожена,Более не активно ДС 24599 Шина MVB линии А заморожена
24601,D,ignore,+1SKS01 на шине MVB линии В неисправно,Поступило ДС 24601 +1SKS01 на шине MVB линии В неисправно,Более не активно ДС 24601 +1SKS01 на шине MVB линии В неисправно
24602,D,ignore,+1SKS02 на шине MVB линии В неисправно,Поступило ДС 24602 +1SKS02 на шине MVB линии В неисправно,Более не активно ДС 24602 +1SKS02 на шине MVB линии В неисправно
24603,D,ignore,+1SKS03 на шине MVB линии В неисправно,Поступило ДС 24603 +1SKS03 на шине MVB линии В неисправно,Более не активно ДС 24603 +1SKS03 на шине MVB линии В неисправно
24604,D,ignore,+1SKS04 на шине MVB линии В неисправно,Поступило ДС 24604 +1SKS04 на шине MVB линии В неисправно,Более не активно ДС 24604 +1SKS04 на шине MVB линии В неисправно
24605,D,ignore,+1SKS06 на шине MVB линии В неисправно,Поступило ДС 24605 +1SKS06 на шине MVB линии В неисправно,Более не активно ДС 24605 +1SKS06 на шине MVB линии В неисправно
24606,D,ignore,+3шлюз на шине MVB линии В неисправен,Поступило ДС 24606 +3шлюз на шине MVB линии В неисправен,Более не активно ДС 24606 +3шлюз на шине MVB линии В неисправен
24607,D,ignore,+2SKS01 на шине MVB линии В неисправно,Поступило ДС 24607 +2SKS01 на шине MVB линии В неисправно,Более не активно ДС 24607 +2SKS01 на шине MVB линии В неисправно
24608,D,ignore,+2SKS02 на шине MVB линии В неисправно,Поступило ДС 24608 +2SKS02 на шине MVB линии В неисправно,Более не активно ДС 24608 +2SKS02 на шине MVB линии В неисправно
24609,D,ignore,+2SKS03 на шине MVB линии В неисправно,Поступило ДС 24609 +2SKS03 на шине MVB линии В неисправно,Более не активно ДС 24609 +2SKS03 на шине MVB линии В неисправно
24610,D,ignore,+2SKS06 на шине MVB линии В неисправно,Поступило ДС 24610 +2SKS06 на шине MVB линии В неисправно,Более не активно ДС 24610 +2SKS06 на шине MVB линии В неисправно
24611,D,ignore,+2СИП на шине MVB линии В неисправна,Поступило ДС 24611 +2СИП на шине MVB линии В неисправна,Более не активно ДС 24611 +2СИП на шине MVB линии В неисправна
24612,D,ignore,+3ZSGM на шине MVB линии В неисправно,Поступило ДС 24612 +3ZSGM на шине MVB линии В неисправно,Более не активно ДС 24612 +3ZSGM на шине MVB линии В неисправно
24613,D,ignore,+3SKS01 на шине MVB линии В неисправно,Поступило ДС 24613 +3SKS01 на шине MVB линии В неисправно,Более не активно ДС 24613 +3SKS01 на шине MVB линии В неисправно
24614,D,ignore,+3SKS02 на шине MVB линии В неисправно,Поступило ДС 24614 +3SKS02 на шине MVB линии В неисправно,Более не активно ДС 24614 +3SKS02 на шине MVB линии В неисправно
24615,D,ignore,+3SKS03 на шине MVB линии В неисправно,Поступило ДС 24615 +3SKS03 на шине MVB линии В неисправно,Более не активно ДС 24615 +3SKS03 на шине MVB линии В неисправно
24616,D,ignore,+3SKS04 на шине MVB линии В неисправно,Поступило ДС 24616 +3SKS04 на шине MVB линии В неисправно,Более не активно ДС 24616 +3SKS04 на шине MVB линии В неисправно
24617,D,ignore,+3ZSGS на шине MVB линии В неисправно,Поступило ДС 24617 +3ZSGS на шине MVB линии В неисправно,Более не активно ДС 24617 +3ZSGS на шине MVB линии В неисправно
24618,D,ignore,+4SKS01 на шине MVB линии В неисправно,Поступило ДС 24618 +4SKS01 на шине MVB линии В неисправно,Более не активно ДС 24618 +4SKS01 на шине MVB линии В неисправно
24619,D,ignore,+4SKS02 на шине MVB линии В неисправно,Поступило ДС 24619 +4SKS02 на шине MVB линии В неисправно,Более не активно ДС 24619 +4SKS02 на шине MVB линии В неисправно
24620,D,ignore,+4SKS03 на шине MVB линии В неисправно,Поступило ДС 24620 +4SKS03 на шине MVB линии В неисправно,Более не активно ДС 24620 +4SKS03 на шине MVB линии В неисправно
24621,D,ignore,+4SKS04 на шине MVB линии В неисправно,Поступило ДС 24621 +4SKS04 на шине MVB линии В неисправно,Более не активно ДС 24621 +4SKS04 на шине MVB линии В неисправно
24622,D,ignore,+5SKS01 на шине MVB линии В неисправно,Поступило ДС 24622 +5SKS01 на шине MVB линии В неисправно,Более не активно ДС 24622 +5SKS01 на шине MVB линии В неисправно
24623,D,ignore,+5SKS02 на шине MVB линии В неисправно,Поступило ДС 24623 +5SKS02 на шине MVB линии В неисправно,Более не активно ДС 24623 +5SKS02 на шине MVB линии В неисправно
24624,D,ignore,+6SKS01 на шине MVB линии В неисправно,Поступило ДС 24624 +6SKS01 на шине MVB линии В неисправно,Более не активно ДС 24624 +6SKS01 на шине MVB линии В неисправно
24625,D,ignore,+6SKS02 на шине MVB линии В неисправно,Поступило ДС 24625 +6SKS02 на шине MVB линии В неисправно,Более не активно ДС 24625 +6SKS02 на шине MVB линии В неисправно
24626,D,ignore,+1BUD01 на шине MVB линии В неисправно,Поступило ДС 24626 +1BUD01 на шине MVB линии В неисправно,Более не активно ДС 24626 +1BUD01 на шине MVB линии В неисправно
24627,D,ignore,+1BUD02 на шине MVB линии В неисправно,Поступило ДС 24627 +1BUD02 на шине MVB линии В неисправно,Более не активно ДС 24627 +1BUD02 на шине MVB линии В неисправно
24628,D,ignore,+2BUD01 на шине MVB линии В неисправно,Поступило ДС 24628 +2BUD01 на шине MVB линии В неисправно,Более не активно ДС 24628 +2BUD01 на шине MVB линии В неисправно
24629,D,ignore,+2BUD02 на шине MVB линии В неисправно,Поступило ДС 24629 +2BUD02 на шине MVB линии В неисправно,Более не активно ДС 24629 +2BUD02 на шине MVB линии В неисправно
24630,D,ignore,+1АВТОПИЛОТ на шине MVB линии В неисправен,Поступило ДС 24630 +1АВТОПИЛОТ на шине MVB линии В неисправен,Более не активно ДС 24630 +1АВТОПИЛОТ на шине MVB линии В неисправен
24631,D,ignore,+1ASG01 на шине MVB линии В неисправно,Поступило ДС 24631 +1ASG01 на шине MVB линии В неисправно,Более не активно ДС 24631 +1ASG01 на шине MVB линии В неисправно
24632,D,ignore,+1ASG02 на шине MVB линии В неисправно,Поступило ДС 24632 +1ASG02 на шине MVB линии В неисправно,Более не активно ДС 24632 +1ASG02 на шине MVB линии В неисправно
24633,D,ignore,+1БЛОК на шине MVB линии В неисправно,Поступило ДС 24633 +1БЛОК на шине MVB линии В неисправно,Более не активно ДС 24633 +1БЛОК на шине MVB линии В неисправно
